Dataset,BF_Time(s),BF_Matches,BM_Time(s),BM_Matches,KMP_Time(s),KMP_Matches,RK_Time(s),RK_Matches
density_pattern_len64_pattern.txt vs density_case_078_d8.70e-03_text.txt,0.079708,13590,0.030185,13590,0.103745,13590,0.322898,13590
density_pattern_len64_pattern.txt vs density_case_079_d9.77e-03_text.txt,0.080049,15266,0.030395,15266,0.117375,15266,0.322585,15266
density_pattern_len64_pattern.txt vs density_case_080_d1.10e-02_text.txt,0.079737,17149,0.030138,17149,0.102198,17149,0.322622,17149
density_pattern_len64_pattern.txt vs density_case_081_d1.23e-02_text.txt,0.079725,19264,0.030185,19264,0.103096,19264,0.3249,19264
density_pattern_len64_pattern.txt vs density_case_082_d1.38e-02_text.txt,0.079975,21639,0.030376,21639,0.102078,21639,0.324139,21639
density_pattern_len64_pattern.txt vs density_case_083_d1.56e-02_text.txt,0.08119,24308,0.030248,24308,0.10205,24308,0.324061,24308
density_pattern_len64_pattern.txt vs density_case_084_d1.75e-02_text.txt,0.07934,27306,0.03039,27306,0.102051,27306,0.324249,27306
density_pattern_len64_pattern.txt vs density_case_085_d1.96e-02_text.txt,0.079871,30673,0.030464,30673,0.102175,30673,0.322614,30673
density_pattern_len64_pattern.txt vs density_case_086_d2.21e-02_text.txt,0.079597,34456,0.030155,34456,0.102163,34456,0.324531,34456
density_pattern_len64_pattern.txt vs density_case_087_d2.48e-02_text.txt,0.079622,38705,0.030152,38705,0.103351,38705,0.324066,38705
density_pattern_len64_pattern.txt vs density_case_088_d2.78e-02_text.txt,0.079562,43478,0.03038,43478,0.10192,43478,0.32256,43478
density_pattern_len64_pattern.txt vs density_case_089_d3.13e-02_text.txt,0.079635,48840,0.030105,48840,0.102302,48840,0.322532,48840
density_pattern_len64_pattern.txt vs density_case_090_d3.51e-02_text.txt,0.079545,54863,0.030107,54863,0.102156,54863,0.32407,54863
density_pattern_len64_pattern.txt vs density_case_091_d3.94e-02_text.txt,0.079256,61629,0.030266,61629,0.102934,61629,0.322492,61629
density_pattern_len64_pattern.txt vs density_case_092_d4.43e-02_text.txt,0.08431,69229,0.030538,69229,0.10241,69229,0.322651,69229
density_pattern_len64_pattern.txt vs density_case_093_d4.98e-02_text.txt,0.079593,77766,0.030143,77766,0.102191,77766,0.324456,77766
density_pattern_len64_pattern.txt vs density_case_094_d5.59e-02_text.txt,0.079579,87357,0.030159,87357,0.102473,87357,0.322747,87357
density_pattern_len64_pattern.txt vs density_case_095_d6.28e-02_text.txt,0.079845,98130,0.031366,98130,0.102139,98130,0.323532,98130
density_pattern_len64_pattern.txt vs density_case_096_d7.05e-02_text.txt,0.079399,110232,0.030149,110232,0.102444,110232,0.322439,110232
density_pattern_len64_pattern.txt vs density_case_097_d7.92e-02_text.txt,0.079761,123826,0.030168,123826,0.102406,123826,0.322633,123826
density_pattern_len64_pattern.txt vs density_case_098_d8.90e-02_text.txt,0.079844,139097,0.030374,139097,0.10267,139097,0.323963,139097
density_pattern_len64_pattern.txt vs density_case_099_d1.00e-01_text.txt,0.079796,156250,0.030336,156250,0.102302,156250,0.324165,156250
