Dataset,BF_Time(s),BF_Matches,BM_Time(s),BM_Matches,KMP_Time(s),KMP_Matches,RK_Time(s),RK_Matches
density_pattern_len64_pattern.txt vs density_case_066_d2.15e-03_text.txt,0.572972,3367,0.532878,3367,0.591111,3367,0.0,3367
density_pattern_len64_pattern.txt vs density_case_067_d2.42e-03_text.txt,0.582623,3782,0.526898,3782,0.582172,3782,0.0,3782
density_pattern_len64_pattern.txt vs density_case_068_d2.72e-03_text.txt,0.58059,4248,0.529924,4248,0.598059,4248,0.0,4248
density_pattern_len64_pattern.txt vs density_case_069_d3.05e-03_text.txt,0.579725,4772,0.535933,4772,0.594051,4772,0.0,4772
density_pattern_len64_pattern.txt vs density_case_070_d3.43e-03_text.txt,0.585268,5361,0.531823,5361,0.594868,5361,0.0,5361
density_pattern_len64_pattern.txt vs density_case_071_d3.85e-03_text.txt,0.586998,6022,0.529071,6022,0.598121,6022,0.0,6022
density_pattern_len64_pattern.txt vs density_case_072_d4.33e-03_text.txt,0.58861,6764,0.53638,6764,0.594603,6764,0.0,6764
density_pattern_len64_pattern.txt vs density_case_073_d4.86e-03_text.txt,0.593738,7598,0.535139,7598,0.596592,7598,0.0,7598
density_pattern_len64_pattern.txt vs density_case_074_d5.46e-03_text.txt,0.620806,8535,0.548588,8535,0.600226,8535,0.0,8535
density_pattern_len64_pattern.txt vs density_case_075_d6.14e-03_text.txt,0.602887,9588,0.537963,9588,0.613216,9588,0.0,9588
density_pattern_len64_pattern.txt vs density_case_076_d6.89e-03_text.txt,0.610071,10770,0.536684,10770,0.604715,10770,0.0,10770
density_pattern_len64_pattern.txt vs density_case_077_d7.74e-03_text.txt,0.606585,12098,0.541802,12098,0.601725,12098,0.0,12098
density_pattern_len64_pattern.txt vs density_case_078_d8.70e-03_text.txt,0.619978,13590,0.547999,13590,0.604415,13590,0.0,13590
density_pattern_len64_pattern.txt vs density_case_079_d9.77e-03_text.txt,0.611734,15266,0.542285,15266,0.604641,15266,0.0,15266
density_pattern_len64_pattern.txt vs density_case_080_d1.10e-02_text.txt,0.612331,17149,0.545877,17149,0.59892,17149,0.0,17149
density_pattern_len64_pattern.txt vs density_case_081_d1.23e-02_text.txt,0.610925,19264,0.542986,19264,0.598013,19264,0.0,19264
density_pattern_len64_pattern.txt vs density_case_082_d1.38e-02_text.txt,0.610728,21639,0.539866,21639,0.597809,21639,0.0,21639
density_pattern_len64_pattern.txt vs density_case_083_d1.56e-02_text.txt,0.61088,24308,0.542464,24308,0.59807,24308,0.0,24308
density_pattern_len64_pattern.txt vs density_case_084_d1.75e-02_text.txt,0.610347,27306,0.539446,27306,0.600283,27306,0.0,27306
density_pattern_len64_pattern.txt vs density_case_085_d1.96e-02_text.txt,0.61032,30673,0.54736,30673,0.600727,30673,0.0,30673
density_pattern_len64_pattern.txt vs density_case_086_d2.21e-02_text.txt,0.61144,34456,0.540032,34456,0.59914,34456,0.0,34456
density_pattern_len64_pattern.txt vs density_case_087_d2.48e-02_text.txt,0.61367,38705,0.539583,38705,0.604089,38705,0.0,38705
density_pattern_len64_pattern.txt vs density_case_088_d2.78e-02_text.txt,0.609873,43478,0.541109,43478,0.606374,43478,0.0,43478
density_pattern_len64_pattern.txt vs density_case_089_d3.13e-02_text.txt,0.610029,48840,0.542445,48840,0.604236,48840,0.0,48840
density_pattern_len64_pattern.txt vs density_case_090_d3.51e-02_text.txt,0.613613,54863,0.542844,54863,0.605572,54863,0.0,54863
density_pattern_len64_pattern.txt vs density_case_091_d3.94e-02_text.txt,0.617672,61629,0.546138,61629,0.605413,61629,0.0,61629
density_pattern_len64_pattern.txt vs density_case_092_d4.43e-02_text.txt,0.622512,69229,0.539304,69229,0.634266,69229,0.0,69229
density_pattern_len64_pattern.txt vs density_case_093_d4.98e-02_text.txt,0.61205,77766,0.541728,77766,0.605805,77766,0.0,77766
density_pattern_len64_pattern.txt vs density_case_094_d5.59e-02_text.txt,0.61174,87357,0.543681,87357,0.58466,87357,0.0,87357
density_pattern_len64_pattern.txt vs density_case_095_d6.28e-02_text.txt,0.613795,98130,0.544078,98130,0.60684,98130,0.0,98130
density_pattern_len64_pattern.txt vs density_case_096_d7.05e-02_text.txt,0.617743,110232,0.549512,110232,0.587637,110232,0.0,110232
density_pattern_len64_pattern.txt vs density_case_097_d7.92e-02_text.txt,0.614645,123826,0.541247,123826,0.601392,123826,0.0,123826
density_pattern_len64_pattern.txt vs density_case_098_d8.90e-02_text.txt,0.612819,139097,0.544239,139097,0.601759,139097,0.0,139097
density_pattern_len64_pattern.txt vs density_case_099_d1.00e-01_text.txt,0.610238,156250,0.537299,156250,0.598412,156250,0.0,156250
