Dataset,Method,Time(s),Matches
density_pattern_len64_pattern.txt vs density_case_060_d1.07e-03_text.txt,MPI (4),0.102515,1676
density_pattern_len64_pattern.txt vs density_case_060_d1.07e-03_text.txt,CUDA,0.599412,1676
density_pattern_len64_pattern.txt vs density_case_061_d1.20e-03_text.txt,Sequential,0.353948,1883
density_pattern_len64_pattern.txt vs density_case_061_d1.20e-03_text.txt,MPI (4),0.102121,1883
density_pattern_len64_pattern.txt vs density_case_061_d1.20e-03_text.txt,CUDA,0.597164,1883
density_pattern_len64_pattern.txt vs density_case_062_d1.35e-03_text.txt,Sequential,0.354284,2115
density_pattern_len64_pattern.txt vs density_case_062_d1.35e-03_text.txt,MPI (4),0.102573,2115
density_pattern_len64_pattern.txt vs density_case_062_d1.35e-03_text.txt,CUDA,0.591584,2115
density_pattern_len64_pattern.txt vs density_case_063_d1.52e-03_text.txt,Sequential,0.354172,2375
density_pattern_len64_pattern.txt vs density_case_063_d1.52e-03_text.txt,MPI (4),0.103833,2375
density_pattern_len64_pattern.txt vs density_case_063_d1.52e-03_text.txt,CUDA,0.595248,2375
density_pattern_len64_pattern.txt vs density_case_064_d1.71e-03_text.txt,Sequential,0.354383,2668
density_pattern_len64_pattern.txt vs density_case_064_d1.71e-03_text.txt,MPI (4),0.102078,2668
density_pattern_len64_pattern.txt vs density_case_064_d1.71e-03_text.txt,CUDA,0.598179,2668
density_pattern_len64_pattern.txt vs density_case_065_d1.92e-03_text.txt,Sequential,0.35832,2997
density_pattern_len64_pattern.txt vs density_case_065_d1.92e-03_text.txt,MPI (4),0.102581,2997
density_pattern_len64_pattern.txt vs density_case_065_d1.92e-03_text.txt,CUDA,0.59318,2997
density_pattern_len64_pattern.txt vs density_case_066_d2.15e-03_text.txt,Sequential,0.35436,3367
density_pattern_len64_pattern.txt vs density_case_066_d2.15e-03_text.txt,MPI (4),0.102668,3367
density_pattern_len64_pattern.txt vs density_case_066_d2.15e-03_text.txt,CUDA,0.591111,3367
density_pattern_len64_pattern.txt vs density_case_067_d2.42e-03_text.txt,Sequential,0.35462,3782
